restaurant_name,restaurant_id,city,categories,veg_category_count,reference_restaurant_count,percentage_veg
isola-di-luna,R3N3P3QN,Antwerp,No Vegetarian Categories,1,714.0,0.14
hot-pot,011370N1,Antwerp,No Vegetarian Categories,1,714.0,0.14
ruba-1,RPP10OQN,Antwerp,No Vegetarian Categories,1,714.0,0.14
amorino,RPQNR1QN,Antwerp,No Vegetarian Categories,1,714.0,0.14
pura-vida-vegan-tacos-more,RPRNONQN,Antwerp,No Vegetarian Categories,1,714.0,0.14
boker-tov-eiland,RQ0NROQN,Antwerp,No Vegetarian Categories,1,714.0,0.14
de-3-snellen,RQ1PN3QN,Antwerp,No Vegetarian Categories,1,714.0,0.14
na-im,RQON5OQN,Antwerp,No Vegetarian Categories,1,714.0,0.14
aashirwad,RQRNQNQN,Antwerp,Vegetarische gerechten,1,714.0,0.14
what-the-kebab,RQRRPPQN,Antwerp,No Vegetarian Categories,1,714.0,0.14
sushi-omega,RRRQPPQN,Antwerp,No Vegetarian Categories,1,714.0,0.14
poke-for-you,0003QP5N,Antwerp,No Vegetarian Categories,1,714.0,0.14
frituur-den-hoek-af,00500P5N,Antwerp,Veggie snacks,1,714.0,0.14
sushi-antwerpen-take-away,011N0P11,Antwerp,No Vegetarian Categories,1,714.0,0.14
super-smesh,RP5135QN,Antwerp,Smashed vegan & vegetarian burgers,1,714.0,0.14
oz-ahi-doner-antwerpen,033NP511,Antwerp,No Vegetarian Categories,1,714.0,0.14
pam-pam-antwerpen-6,03O55O7N,Antwerp,No Vegetarian Categories,1,714.0,0.14
pizza-pasta-nr1-city-antwerpen,0577OP5N,Antwerp,No Vegetarian Categories,1,714.0,0.14
hong-kong-city-antwerpen,05OPPO11,Antwerp,"Vegetarische hoofdgerechten,Vegetarische voorgerechten",2,714.0,0.28
chipz-frituur-3,075PPQ5N,Antwerp,No Vegetarian Categories,1,714.0,0.14
